Probe ID,TargetID,ENTREZ_GENE_ID,log2(Fold change) D1 500vNT,Symmetrical raw fold changeD1 500vNT,FDRAdj p-val D1 500vNT,D1 500vNT DEG,log2(Fold change) D4 500vNT,Symmetrical raw fold change D4 500vNT,FDRAdj p-val D4 500vNT,D4 500vNTDEG,log2(Fold change) D7 500vNT,Symmetrical raw fold change D7 500vNT,FDRAdj p-val D7 500vNT,D7 500vNT DEG,log2(Fold change) D14 500vNT,Symmetrical raw fold change D14 500vNT,FDR Adj p-val D14 500vNT,D14 500vNT DEG,log2(Fold change)  D1 50vNT,Symmetrical raw fold change  D1 50vNT,FDR Adj p-val D1 50vNT,D1 50vNT DEG,log2(Fold change) D4 50vNT,Symmetrical raw fold change D4 50vNT,FDRAd p-val D4 50vNT,D4 50vNT DEG,log2(Fold change) D7 50vNT,Symmetrical raw fold change  D7 50vNT,FDRAdj p-val D7 50vNT,D7 50vNT DEG,log2(Fold change) D14 50vNT,Symmetrical raw fold change D14 50vNT,FDRAdj p-val D14 50vNT,D14 50vNT DEG,D14 50vNT DEG,D7 50vNT DEG,D4 50vNT DEG,D1 50vNT DEG,D14 500vNT DEG,D7 500vNT DEG,D4 500vNTDEG,D1 500vNT DEG,DEG DOWN ANY,DEG UP ANY
10286,ADAMTSL4,54507,-0.2418937,-1.182544,0.01692497,FALSE,-0.69804,-1.622299,4.0723E-08,DOWN,-0.7142092,-1.640584,1.68856E-06,DOWN,-0.9238129,-1.897123,1.93297E-09,DOWN,-0.05419037,-1.038276,0.896682,FALSE,0.04711178,1.033194,0.8135701,FALSE,-0.9352157,-1.912176,1.76753E-10,DOWN,-0.5712954,-1.485857,8.34875E-05,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,DOWN,FALSE,5,0
10673,PLXNB2,23654,-0.7546368,-1.687207,6.1878E-05,DOWN,-1.557629,-2.943697,4.5954E-11,DOWN,-1.157369,-2.230502,3.91606E-05,DOWN,-1.227786,-2.342072,5.58623E-08,DOWN,-0.3098225,-1.239555,0.5056435,FALSE,-0.4119761,-1.330507,0.07198394,FALSE,-1.755068,-3.375423,3.00129E-09,DOWN,-0.8311415,-1.779093,6.97881E-05,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,DOWN,DOWN,6,0
50195,RAB25,57111,-1.311749,-2.482423,6.37389E-08,DOWN,-1.55164,-2.931501,3.42208E-10,DOWN,-1.150757,-2.220304,1.6556E-05,DOWN,-2.352345,-5.106535,5.2213E-13,DOWN,0.05668918,1.040076,0.9472972,FALSE,-0.7372857,-1.667037,0.001934826,DOWN,-1.768993,-3.40816,4.08378E-10,DOWN,-1.103567,-2.148854,4.50859E-06,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
50553,SIGMAR1,10280,0.4406298,1.357197,0.01693164,FALSE,-0.3861915,-1.306939,0.01295479,FALSE,-0.8106602,-1.754014,0.000232037,DOWN,-0.6589066,-1.578886,0.05800147,FALSE,0.2019068,1.150218,0.7192883,FALSE,-0.6243285,-1.541493,0.01256448,DOWN,-0.3961688,-1.316008,0.01217443,FALSE,-0.7969046,-1.73737,0.00023816,DOWN,DOWN,FALSE,DOWN,FALSE,FALSE,DOWN,FALSE,FALSE,3,0
50672,GSTM1,2944,-0.1862932,-1.137836,0.124484,FALSE,-0.5648551,-1.479239,3.27471E-07,DOWN,-0.7341303,-1.663394,3.31399E-08,DOWN,-0.4760786,-1.390958,8.43235E-06,FALSE,0.4050083,1.324096,0.198815,FALSE,-0.5922818,-1.507629,3.75964E-06,DOWN,-0.7052509,-1.630428,3.55944E-08,DOWN,-0.5847043,-1.499732,9.83857E-07,DOWN,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,FALSE,5,0
60079,DNAJB1,3337,-0.4312363,-1.348389,0.01295234,FALSE,-1.08254,-2.117762,1.15025E-07,DOWN,-1.393321,-2.626827,3.17882E-06,DOWN,-1.444996,-2.72262,9.63269E-06,DOWN,0.01958218,1.013666,0.9837694,FALSE,-0.9282408,-1.902954,9.58123E-05,DOWN,-1.499817,-2.828069,8.55801E-09,DOWN,-0.9368959,-1.914405,8.51715E-05,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,FALSE,6,0
60292,LRRC37B2,147172,-1.424466,-2.684152,1.07615E-07,DOWN,-2.633065,-6.203423,0,DOWN,-0.6491351,-1.568228,0.01353912,DOWN,-2.453638,-5.477959,1.43115E-09,DOWN,-1.163383,-2.23982,0.06796814,FALSE,-0.1730543,-1.127443,0.7681779,FALSE,-1.368545,-2.5821,1.73696E-07,DOWN,-2.032938,-4.092376,1.8827E-09,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,DOWN,DOWN,6,0
70070,GRINA,2907,0.7658895,1.700418,0.000377123,UP,-0.6928844,-1.616512,0.00005094,DOWN,-0.6272446,-1.544612,0.02178044,DOWN,-0.9244208,-1.897922,1.57429E-05,DOWN,0.1066394,1.076717,0.8978912,FALSE,-0.3488788,-1.273571,0.05512181,FALSE,-0.6899152,-1.613189,0.004218018,DOWN,-0.5196864,-1.433644,0.01510874,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,DOWN,UP,5,1
70767,BAIAP2,10458,0.1440744,1.105021,0.3872616,FALSE,-0.515484,-1.429474,0.05323832,FALSE,-1.068897,-2.097828,2.51689E-06,DOWN,-1.143073,-2.208509,0.000463674,DOWN,0.4967068,1.410989,0.231815,FALSE,-0.1385598,-1.100806,0.6251802,FALSE,-0.9008911,-1.867219,0.000786669,DOWN,-0.6871037,-1.610048,0.003264179,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,FALSE,FALSE,4,0
110100,CGNL1,84952,-0.3908221,-1.31114,0.000154998,FALSE,-0.8112801,-1.754768,2.94597E-10,DOWN,-1.528819,-2.885496,1.29741E-13,DOWN,-0.8638985,-1.81995,5.64017E-09,DOWN,-0.2739255,-1.209093,0.1321816,FALSE,-0.6250585,-1.542273,3.21965E-05,DOWN,-1.57056,-2.970199,0,DOWN,-0.831041,-1.778968,6.96399E-08,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,FALSE,6,0
110433,ASS1,445,-4.315724,-19.91418,4.54095E-13,DOWN,-2.802661,-6.97726,1.48662E-13,DOWN,-1.510924,-2.849925,1.68663E-07,DOWN,-3.437469,-10.83382,0,DOWN,-0.6205814,-1.537495,0.504519,FALSE,-2.11855,-4.342573,8.72562E-10,DOWN,-3.113646,-8.655674,7.38184E-14,DOWN,-1.191704,-2.284223,7.22409E-06,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
110634,JUP,3728,0.2233218,1.167418,0.2088249,FALSE,-0.6104641,-1.52675,0.003578454,DOWN,-1.792121,-3.463237,1.7419E-10,DOWN,-0.8264685,-1.773339,8.94358E-05,DOWN,0.5559657,1.470152,0.1311407,FALSE,-0.5463442,-1.46038,0.03235243,DOWN,-1.658357,-3.156569,9.84092E-10,DOWN,-0.8241322,-1.77047,0.000245021,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,FALSE,6,0
130360,IDS,3423,0.9901256,1.986358,1.42818E-07,UP,-0.5136181,-1.427626,7.27928E-05,DOWN,-0.5231243,-1.437064,0.00059662,DOWN,-0.4967978,-1.411078,0.000262613,FALSE,0.05480495,1.038719,0.9251137,FALSE,-0.09577932,-1.068642,0.6367826,FALSE,-0.4412864,-1.357815,9.29002E-05,FALSE,-0.6311086,-1.548755,3.82192E-05,DOWN,DOWN,FALSE,FALSE,FALSE,FALSE,DOWN,DOWN,UP,3,1
130576,UNC5B,219699,-0.8961407,-1.861081,5.22822E-06,DOWN,-0.8030649,-1.744804,1.30601E-10,DOWN,-0.5966928,-1.512246,2.19967E-05,DOWN,-0.7931147,-1.732811,2.64965E-09,DOWN,-0.4006968,-1.320145,0.301736,FALSE,-0.6784852,-1.600459,1.38077E-06,DOWN,-0.7550143,-1.687648,1.47774E-07,DOWN,-0.6412209,-1.559648,1.09891E-06,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
130717,ARPC1B,10095,0.8734313,1.832015,3.28296E-05,UP,-0.4934206,-1.407779,0.0004303,FALSE,-0.7423441,-1.672892,2.58959E-08,DOWN,-0.5379867,-1.451945,0.002372521,DOWN,0.08717959,1.062291,0.8353441,FALSE,-0.4708646,-1.38594,0.00742394,FALSE,-0.6662027,-1.586891,1.33451E-07,DOWN,-0.6317915,-1.549488,0.000303161,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,FALSE,UP,4,1
130750,YPEL3,83719,-1.157683,-2.230988,1.6349E-06,DOWN,-1.172615,-2.2542,1.61953E-09,DOWN,-0.6482446,-1.56726,0.003874779,DOWN,-1.37101,-2.586515,3.56244E-10,DOWN,-0.3883708,-1.308914,0.3867196,FALSE,-0.5181512,-1.432119,0.01037663,DOWN,-0.915001,-1.88557,9.28289E-06,DOWN,-0.8309079,-1.778805,3.08867E-05,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
